# LING-1 L-P2/Wave-2 — distinctive-feature matrix (curated, PHOIBLE-aligned).
# Whitespace-delimited, positional. First token = IPA symbol; then 16 feature
# values in this order (see conlang::features::FEATURE_NAMES):
#
#   syllabic consonantal sonorant continuant voice nasal lateral
#   labial coronal dorsal anterior strident high low back round
#
# Values: + (present), - (absent), 0 (unspecified / not applicable).
#
# ipa  syl con son con voi nas lat lab cor dor ant str hi  lo  bk  rnd
# ── stops ──────────────────────────────────────────────────────────────
p      -   +   -   -   -   -   -   +   -   -   0   -   0   0   0   0
b      -   +   -   -   +   -   -   +   -   -   0   -   0   0   0   0
t      -   +   -   -   -   -   -   -   +   -   +   -   0   0   0   0
d      -   +   -   -   +   -   -   -   +   -   +   -   0   0   0   0
ʈ      -   +   -   -   -   -   -   -   +   -   -   -   0   0   0   0
ɖ      -   +   -   -   +   -   -   -   +   -   -   -   0   0   0   0
c      -   +   -   -   -   -   -   -   +   +   -   -   +   -   -   0
ɟ      -   +   -   -   +   -   -   -   +   +   -   -   +   -   -   0
k      -   +   -   -   -   -   -   -   -   +   0   -   +   -   +   0
ɡ      -   +   -   -   +   -   -   -   -   +   0   -   +   -   +   0
q      -   +   -   -   -   -   -   -   -   +   0   -   -   -   +   0
ɢ      -   +   -   -   +   -   -   -   -   +   0   -   -   -   +   0
ʔ      -   +   -   -   -   -   -   -   -   -   0   -   0   0   0   0
# ── nasals ─────────────────────────────────────────────────────────────
m      -   +   +   -   +   +   -   +   -   -   0   -   0   0   0   0
ɱ      -   +   +   -   +   +   -   +   -   -   0   -   0   0   0   0
n      -   +   +   -   +   +   -   -   +   -   +   -   0   0   0   0
ɳ      -   +   +   -   +   +   -   -   +   -   -   -   0   0   0   0
ɲ      -   +   +   -   +   +   -   -   +   +   -   -   +   -   -   0
ŋ      -   +   +   -   +   +   -   -   -   +   0   -   +   -   +   0
ɴ      -   +   +   -   +   +   -   -   -   +   0   -   -   -   +   0
# ── fricatives ─────────────────────────────────────────────────────────
ɸ      -   +   -   +   -   -   -   +   -   -   0   -   0   0   0   0
β      -   +   -   +   +   -   -   +   -   -   0   -   0   0   0   0
f      -   +   -   +   -   -   -   +   -   -   0   -   0   0   0   0
v      -   +   -   +   +   -   -   +   -   -   0   -   0   0   0   0
θ      -   +   -   +   -   -   -   -   +   -   +   -   0   0   0   0
ð      -   +   -   +   +   -   -   -   +   -   +   -   0   0   0   0
s      -   +   -   +   -   -   -   -   +   -   +   +   0   0   0   0
z      -   +   -   +   +   -   -   -   +   -   +   +   0   0   0   0
ʃ      -   +   -   +   -   -   -   -   +   -   -   +   +   0   0   0
ʒ      -   +   -   +   +   -   -   -   +   -   -   +   +   0   0   0
ʂ      -   +   -   +   -   -   -   -   +   -   -   +   0   0   0   0
ʐ      -   +   -   +   +   -   -   -   +   -   -   +   0   0   0   0
ç      -   +   -   +   -   -   -   -   +   +   -   -   +   -   -   0
ʝ      -   +   -   +   +   -   -   -   +   +   -   -   +   -   -   0
x      -   +   -   +   -   -   -   -   -   +   0   -   +   -   +   0
ɣ      -   +   -   +   +   -   -   -   -   +   0   -   +   -   +   0
χ      -   +   -   +   -   -   -   -   -   +   0   -   -   -   +   0
ʁ      -   +   -   +   +   -   -   -   -   +   0   -   -   -   +   0
ħ      -   +   -   +   -   -   -   -   -   -   0   -   0   0   +   0
ʕ      -   +   -   +   +   -   -   -   -   -   0   -   0   0   +   0
h      -   +   -   +   -   -   -   -   -   -   0   -   0   0   0   0
ɦ      -   +   -   +   +   -   -   -   -   -   0   -   0   0   0   0
# ── affricates ─────────────────────────────────────────────────────────
t͡s     -   +   -   -   -   -   -   -   +   -   +   +   0   0   0   0
d͡z     -   +   -   -   +   -   -   -   +   -   +   +   0   0   0   0
t͡ʃ     -   +   -   -   -   -   -   -   +   -   -   +   +   0   0   0
d͡ʒ     -   +   -   -   +   -   -   -   +   -   -   +   +   0   0   0
# ── liquids + rhotics ──────────────────────────────────────────────────
l      -   +   +   +   +   -   +   -   +   -   +   -   0   0   0   0
ɭ      -   +   +   +   +   -   +   -   +   -   -   -   0   0   0   0
ʎ      -   +   +   +   +   -   +   -   +   +   -   -   +   -   -   0
ʟ      -   +   +   +   +   -   +   -   -   +   0   -   +   -   +   0
r      -   +   +   +   +   -   -   -   +   -   +   -   0   0   0   0
ɾ      -   +   +   -   +   -   -   -   +   -   +   -   0   0   0   0
ɹ      -   +   +   +   +   -   -   -   +   -   +   -   0   0   0   0
ʀ      -   +   +   +   +   -   -   -   -   +   0   -   -   -   +   0
# ── glides ─────────────────────────────────────────────────────────────
j      -   -   +   +   +   -   -   -   +   +   -   -   +   -   -   0
w      -   -   +   +   +   -   -   +   -   +   0   -   +   -   +   +
ɰ      -   -   +   +   +   -   -   -   -   +   0   -   +   -   +   -
